paramset,ss_A1,ss_Anons1,ss_Aprim1,ss_B1
1,486.399185704698,0,30.1931131280564,418.897664485579
2,80.7940913173313,0,9.78023763426093,96.605122854596
3,1153.27928195885,0,60.9021106364218,3035.51439916309
4,23.4589334756396,0,0.299506365282464,35.9512558976007
5,752.537690082873,0,105.316782667986,5185.21143902494
6,98.2378489660598,0,2.12964850060094,101.528453047447
7,900.165484192965,0,24.3201754543721,466.854966516598
8,4.58815594520386,0,0.149720723240674,6.89483687928307
9,28.0403759260892,0,0.95226441154725,46.3897991876703
10,76.2822060329056,0,2.16083039352056,68.1946312740722
11,1005.95366046571,0,41.7894711740496,1446.7578524218
12,962.700196286192,0,49.6901137789995,579.521665802444
13,1198.84679802585,0,61.0865336399967,545.904630403874
14,236.014688574595,0,3.07017962283675,159.151659019073
15,714.168772977732,0,22.7172932915093,994.0755406342
16,332.385354150268,0,6.26664386853217,204.385106524141
17,691.879763220145,0,16.6165999342612,678.289523642179
18,46.2299899541925,0,1.82731726852518,13.9027425910705
19,555.613090786379,0,18.6381991103205,294.233771189961
20,795.704932741771,0,178.483562320698,496.063986914718
21,365.297634893656,0,15.8177971949155,193.679995883127
22,82.6867289002599,0,2.10606507695748,61.3767645519188
23,501.204310613407,0,8.36356615495088,404.093282474379
24,495.972924963385,0,31.7536661926031,240.622422497456
25,108.844084837315,0,3.90785365012226,120.820978105286
26,150.271647885452,0,39.9970221963498,158.761592226359
27,761.938369062456,0,23.0014844676102,400.761078190983
28,144.653045707001,0,8.53218988540971,127.674286797909
29,257.995169279804,0,11.7516057530098,695.306210140122
30,542.468244152138,0,83.9694101331879,251.018188726946
31,746.897943485203,0,30.3883198162434,524.009676764919
32,350.345844558363,0,167.573242421506,76.0049350256619
33,196.850747427131,0,11.903407147955,108.411862562246
34,187.440655802311,0,5.31828047191727,120.65295049806
35,185.940270164324,0,7.4485739436856,137.1447425707
36,407.338871367587,0,38.1858341016108,650.344682120575
37,77.3643009270648,0,2.82695017395542,49.0782500047652
38,286.276732109432,0,5.75897956950201,233.850676621234
39,1176.16719147254,0,36.1937884433136,499.182561991735
40,179.985987050022,0,9.06906565174198,98.7027826156356
41,55.7977826279244,0,0.639884279679027,62.167139895655
42,69.8928504774866,0,36.6387283738692,37.0097687576311
43,1055.48295851027,0,29.1683464482489,769.568480354812
44,208.521718979211,0,44.1849898599319,414.294276656301
45,1109.55648993679,0,180.549716460912,345.126780363102
46,370.732622419837,0,9.27376279898569,214.93002802672
47,322.604374218938,0,25.825869687171,169.136110115399
48,139.12030227812,0,6.75593676430077,260.295686478439
49,391.345605426221,0,17.5961584776496,292.254828493907
50,258.329906050783,0,17.1913589726601,170.712465739429
51,325.441110691953,0,11.0012298489159,186.444423738341
52,43.3546497881676,0,0.973175847364099,40.3558617682949
53,403.645682683001,0,15.5469429627166,273.144283477723
54,410.725495102328,0,33.56198180741,186.233268120833
55,566.229520236194,0,21.8803788267586,331.877179335717
56,626.343898406714,0,21.8875235586869,496.4095300291
57,815.921401919969,0,24.3460181680798,230.02067191711
58,349.783533205353,0,7.55275383578778,256.425967053861
59,158.253176831284,0,3.34330063136236,97.0765271045999
60,646.845410871677,0,13.2945448337501,451.476356661755
61,12.2342940772676,0,0.140329776624233,12.5248447697633
62,208.293336707516,0,2.7980728111986,203.373721470849
63,1025.73038128035,0,40.4630701569483,160.15201228295
64,1263.38300673673,0,85.3028707688011,459.843497174447
65,200.964103815786,0,3.45180322265979,213.672406420071
66,227.018317215139,0,7.96016117159472,99.5608259068744
67,223.949888741757,0,18.4439791273381,1257.82093348401
68,64.3121034095642,0,1.67224237095344,55.1971571744976
69,732.027200806425,0,40.3910190098202,349.017760066436
70,230.133789299655,0,19.6133746568854,199.291890053543
71,1108.49755095568,0,44.7873317760519,941.154290554584
72,1017.21788993779,0,54.5209792744685,635.93613091446
73,57.3449692136547,0,2.91646934732197,81.3399735785909
74,482.307971340871,0,12.1550479501516,488.322113869415
75,737.774446064831,0,47.4524474459419,846.366838921494
76,224.110845583171,0,7.17707356040392,163.107232460261
77,663.04603550637,0,22.3724072356898,242.847001530335
78,357.01072131601,0,11.4400758188633,327.644157898648
79,108.450793389497,0,2.55954317086324,50.0020773267361
80,536.962339562401,0,28.2426273711893,330.217994029284
81,975.646759413039,0,109.868847147767,564.962312046347
82,1150.15149154462,0,71.2311134217723,198.113372894125
83,204.005439475049,0,5.08018266454085,336.752273533845
84,166.740058942407,0,30.2944792901839,90.5943596460032
85,679.661522411074,0,18.598742246614,1905.24127560524
86,850.854375600177,0,33.9137307248383,449.245684688361
87,35.3871268560615,0,0.627100738834252,15.1890213724468
88,236.685355943333,0,11.4367208329881,551.855597923388
89,972.424559186887,0,56.5321789277807,532.484719239748
90,398.010067871074,0,10.7908113690954,475.95020886786
91,466.437017719834,0,40.4172912496193,227.709448888681
92,176.083945211122,0,3.00803472931637,720.127397378107
93,58.2010689776325,0,2.27292921021972,73.2065537718494
94,1190.99173382404,0,40.3251482838369,649.993245547783
95,320.057560848424,0,15.168781780346,254.365857818302
96,100.738844055931,0,1.66879949148827,163.131723920597
97,852.110843448623,0,19.7816341818443,596.038257347195
98,952.215533797695,0,24.2408404466811,567.686289288626
99,190.061787086389,0,4.50454852254814,202.678253222612
100,245.113581267963,0,10.7886569603232,414.633059886275
