"","mutated_alleles","product","paramset","mean_product","sd_product","cv_product","fano_product","gini_product","bimodality_coef","HDTpval"
"1",0,"A1",1,244.734939759036,41.7362845282127,0.170529713788175,7.11727665517796,0.0968678597504353,0.438571851248127,0.983482933511915
"2",0,"Anonsense1",1,0,0,0,0,0,NA,1
"3",0,"Aprime1",1,0,0,0,0,0,NA,1
"4",0,"B1",1,249.867469879518,55.8990287566398,0.223705757800382,12.5049345883095,0.126466171091049,0.37776967165214,0.201006284278933
"5",1,"A1",1,122.228915662651,28.671943949053,0.234556595938568,6.7251935716313,0.13155786030316,0.361728885160767,0.79702931829747
"6",1,"Anonsense1",1,121.322289156627,27.6890652700561,0.228208545825033,6.31888132053393,0.128467552710658,0.383926973006677,0.90230605451317
"7",1,"Aprime1",1,14.9246987951807,17.7846396155056,1.19082680269686,21.1784255304484,0.545065641799276,0.683264251853339,0.000456453884410291
"8",1,"B1",1,236.316265060241,57.526292220011,0.243418953899801,14.0029898739294,0.136984254269486,0.378276247141251,0.952494060287247
"9",2,"A1",1,0,0,0,0,0,NA,1
"10",2,"Anonsense1",1,250.560240963855,38.5628452892129,0.153900340043874,5.93483500306918,0.0863633898125129,0.353464398201473,0.93669823311542
"11",2,"Aprime1",1,32.5692771084337,25.4016322373538,0.779686797617069,19.8053172933889,0.399054900625382,0.55030332287019,0.187608991479902
"12",2,"B1",1,3.08433734939759,13.0360456066269,4.21287149223235,54.9191849075993,0.71046575683264,0.81291228506645,0.921412820403309
"13",0,"A1",2,794.496987951807,118.635482189793,0.149319620832572,17.7146052178693,0.0842285139877965,0.34640315202215,0.328535324677666
"14",0,"Anonsense1",2,0,0,0,0,0,NA,1
"15",0,"Aprime1",2,0,0,0,0,0,NA,1
"16",0,"B1",2,1241.06626506024,115.878237768897,0.0933691514624786,10.8194527334492,0.0525832736376604,0.361541542721309,0.984774867188791
"17",1,"A1",2,512.204819277108,77.6270826749261,0.151551809423401,11.764524839645,0.085908994226507,0.389458924961965,0.743692431230858
"18",1,"Anonsense1",2,510.364457831325,81.5971776325037,0.159877079231639,13.0455184334299,0.0900901941422988,0.379742212393139,0.443321047934043
"19",1,"Aprime1",2,718.481927710843,150.324371247096,0.209222073971016,31.4511767207063,0.117114110106888,0.340385727432718,0.925718570463059
"20",1,"B1",2,1137.53012048193,287.307506549382,0.252569119432606,72.5650039355551,0.12442280604141,0.735179614402175,0.940250476914714
"21",2,"A1",2,0,0,0,0,0,NA,1
"22",2,"Anonsense1",2,1081.57530120482,94.3807791487158,0.0872615216234739,8.23581040052598,0.0493833352692101,0.388876219838253,0.80594259921522
"23",2,"Aprime1",2,838.451807228916,114.468933092127,0.136522536990017,15.6275891522777,0.0767950271689345,0.3408291270651,0.887272131513532
"24",2,"B1",2,279.165662650602,199.827825350104,0.715778099899042,143.032381136055,0.397663448504549,0.5055337091911,0.82271397118979
"25",0,"A1",3,747.301204819277,117.094532516987,0.15668777848086,18.3472821723416,0.0887249670080602,0.374516880671331,0.803486716210183
"26",0,"Anonsense1",3,0,0,0,0,0,NA,1
"27",0,"Aprime1",3,0,0,0,0,0,NA,1
"28",0,"B1",3,1012.76204819277,121.759162534279,0.120223660152895,14.6383321770223,0.0679071535735149,0.371128095852148,0.982929247650397
"29",1,"A1",3,382.192771084337,82.3662086919864,0.21550395476806,17.7502437123744,0.121028320166375,0.341632715480971,0.993040261503223
"30",1,"Anonsense1",3,383.213855421687,88.1754604842895,0.230088652459446,20.2881728828213,0.130446345782632,0.388112521158527,0.950151549902207
"31",1,"Aprime1",3,99.1475903614458,95.3984135368841,0.962088864696501,91.7817513735481,0.486687977208844,0.587955940844944,0.983156400824353
"32",1,"B1",3,945.081325301205,163.027705133632,0.172499419653095,28.1221845229275,0.0938111389713403,0.344402280213881,0.94459152000774
"33",2,"A1",3,0,0,0,0,0,NA,1
"34",2,"Anonsense1",3,794.126506024096,117.317560193473,0.147729715613796,17.3312898038862,0.0834168320895921,0.365359102906226,0.990960810294495
"35",2,"Aprime1",3,170.852409638554,97.878396841153,0.572849212698141,56.0695625706107,0.303538806879433,0.432559647967459,0.990667529204207
"36",2,"B1",3,76.9186746987952,112.622874209537,1.46399082852392,164.878854924765,0.659942448676767,0.66207351298377,0.540713065262476
"37",0,"A1",4,950.918674698795,151.922213402539,0.159761943713244,24.2713881064078,0.0906327175889996,0.380892883089998,0.92805865201727
"38",0,"Anonsense1",4,0,0,0,0,0,NA,1
"39",0,"Aprime1",4,0,0,0,0,0,NA,1
"40",0,"B1",4,1471.54819277108,121.47169338079,0.0825463063421548,10.027039613711,0.0467057291647413,0.367961625897923,0.995228528333871
"41",1,"A1",4,491.569277108434,102.697182036643,0.208912756942742,21.4547514295257,0.118649885263201,0.403225251852354,0.613005246273885
"42",1,"Anonsense1",4,484.343373493976,105.555226813353,0.217930198466277,23.0036715285869,0.123592374886366,0.382808485307849,0.988992304176525
"43",1,"Aprime1",4,67.5210843373494,80.2786847664041,1.18876641111484,95.4326039787774,0.570566983746671,0.641138989588896,0.686266367705703
"44",1,"B1",4,1394.72590361446,168.149588643007,0.120560163545835,20.2721419069658,0.0657633457991566,0.317307158588456,0.987645432723264
"45",2,"A1",4,0,0,0,0,0,NA,1
"46",2,"Anonsense1",4,983.924698795181,157.222158112079,0.159789220061653,25.1224060211389,0.0900238609447807,0.339348204134884,0.581560127524655
"47",2,"Aprime1",4,135.105421686747,95.7529126065172,0.708674934446134,67.8576890644499,0.380425212923751,0.47789575846692,0.99509791552947
"48",2,"B1",4,36.8343373493976,106.889584848602,2.90111296710156,310.09876065238,0.844510355729102,0.752095605593522,0.0884087722577303
"49",0,"A1",5,166.096385542169,29.3024088624802,0.176407479862003,5.16916410131616,0.0990249121078734,0.352666978416275,0.787870458902194
"50",0,"Anonsense1",5,0,0,0,0,0,NA,1
"51",0,"Aprime1",5,0,0,0,0,0,NA,1
"52",0,"B1",5,111.58734939759,39.3235270424183,0.352369722530949,13.8564203128752,0.197326747800211,0.347170928969471,0.686266367705703
"53",1,"A1",5,89.0963855421687,20.7306795477022,0.232650886034331,4.82301096486669,0.129048622948601,0.335507740879095,0.637425620084492
"54",1,"Anonsense1",5,88.4909638554217,22.1582452714393,0.250372925967652,5.54782470291915,0.140730705799199,0.38665720897551,0.569546285682838
"55",1,"Aprime1",5,33.8795180722892,26.1706681086565,0.77223488551334,20.2099028906959,0.410214953076555,0.51073805434542,0.233008208756641
"56",1,"B1",5,105.710843373494,43.6117255001366,0.412517760060461,17.990611315688,0.228923824461218,0.420727881850121,0.834381012563404
"57",2,"A1",5,0,0,0,0,0,NA,1
"58",2,"Anonsense1",5,181.099397590361,26.6179027889261,0.1469714059186,3.91207059549309,0.0824993906851251,0.357261516680647,0.580031093108424
"59",2,"Aprime1",5,60.6204819277108,25.7835623368088,0.425257420311294,10.9646512057868,0.23593710063639,0.429026097082405,0.987727858450221
"60",2,"B1",5,31.2379518072289,31.891631165408,1.02059908957073,32.5485697323409,0.518250428604073,0.629021434191631,0.290514205026231
"61",0,"A1",6,689.277108433735,108.56031926308,0.157496517684425,17.0978722426444,0.0882487326297143,0.28613456162416,0.934316090874572
"62",0,"Anonsense1",6,0,0,0,0,0,NA,1
"63",0,"Aprime1",6,0,0,0,0,0,NA,1
"64",0,"B1",6,1053.01506024096,91.4960736565143,0.0868887903157569,7.94998315865592,0.0489544229103548,0.346523537673458,0.990683202740735
"65",1,"A1",6,427.719879518072,67.9821139795864,0.158937023656572,10.8048748577973,0.0898309858678046,0.375320913265275,0.990536689247103
"66",1,"Anonsense1",6,424.19578313253,84.0917761137132,0.198233450503058,16.669802937952,0.110927078839212,0.360963077808014,0.987498403048151
"67",1,"Aprime1",6,543.993975903614,148.195245467966,0.272415739649341,40.3707174066716,0.15233824353333,0.381738868106544,0.99668616723098
"68",1,"B1",6,832.234939759036,340.605971791802,0.40926169150445,139.39697615203,0.213452144284245,0.783469902854681,0.112166182352744
"69",2,"A1",6,0,0,0,0,0,NA,1
"70",2,"Anonsense1",6,903.69578313253,84.0303907420823,0.0929842348145725,7.81350158432205,0.0525340719782034,0.3828245248063,0.990837410116253
