,KO_Gene,Paralog,Perc_ID,Paralog_expr,Paralog_expr_count,CTRL_expr,CTRL_expr_count,FC2,KO_FC2,upreg
0,Aff3,Aff1,29.7716,29.48102699184349,8759.5,27.130253869807163,8123.0,0.11951362298997667,-0.041794783893795914,0
2,Aff3,Aff4,34.2241,90.46707599053616,11950.5,96.03722009528036,12879.5,-0.08630389305744561,-0.041794783893795914,0
4,Arid5b,Arid4a,12.5297,9.74086049956778,1348.5,11.333646348039059,1631.0,-0.21995643165449744,0.10807827759774058,0
5,Arid5b,Arid4b,12.0244,8.928223240740465,2019.0,9.689419081289415,2264.5,-0.11890448916494846,0.10807827759774058,0
6,Arid5b,Arid5a,28.2164,4.868859139368297,117.5,5.410851393523262,137.0,-0.15714086239964487,0.10807827759774058,0
30,Cdk8,Prpf4b,8.83813,77.93662197718882,3508.5,82.80472503466896,4807.5,-0.08770911762390218,-0.41711407382045584,0
26,Cdk8,Cdkl2,21.1268,5.01600691307999,225.5,4.402980241761363,246.5,0.18783495048710208,-0.41711407382045584,0
24,Cdk8,Cdk9,27.957,207.3418101482829,2233.0,133.06897155654792,1836.0,0.6398146392963526,-0.41711407382045584,1
23,Cdk8,Cdk7,35.5491,62.05599112431226,2563.0,61.13353764331194,3250.0,0.021486487195123333,-0.41711407382045584,0
21,Cdk8,Cdk5,39.726,59.85443420585821,462.0,51.67538159145927,509.5,0.2119423178340517,-0.41711407382045584,0
20,Cdk8,Cdk4,37.6238,2199.5855835578777,14302.5,1764.2630068608473,14756.5,0.3181166827901224,-0.41711407382045584,0
19,Cdk8,Cdk20,32.0809,12.325382877882062,159.0,10.5622060879848,172.5,0.2226824933181877,-0.41711407382045584,0
18,Cdk8,Cdk2,33.815,268.1048294697471,2809.5,269.16169997293025,3631.0,-0.005739761361523353,-0.41711407382045584,0
22,Cdk8,Cdk6,33.7423,7.32150520894853,1772.0,7.624057922499121,2390.0,-0.061403101517724164,-0.41711407382045584,0
16,Cdk8,Cdk18,26.8293,12.053178586445746,451.5,10.79787547788612,512.5,0.15550934584885884,-0.41711407382045584,0
15,Cdk8,Cdk17,23.7094,6.200724471362408,819.0,8.649926353029283,1552.0,-0.48033768532065735,-0.41711407382045584,0
14,Cdk8,Cdk16,24.3952,181.201820958981,3196.5,183.35762400183805,4146.0,-0.019480028486922506,-0.41711407382045584,0
11,Cdk8,Cdk13,9.19921,23.924842177391405,3225.0,21.28807432504467,3664.5,0.16842265416609542,-0.41711407382045584,0
10,Cdk8,Cdk12,9.29919,45.112451108321906,4933.0,34.97820972531974,4890.5,0.3666876142526685,-0.41711407382045584,0
9,Cdk8,Cdk11b,16.5816,102.55462794446254,3778.5,93.79651686378031,4451.5,0.12875136735141854,-0.41711407382045584,0
8,Cdk8,Cdk10,33.8889,31.21455309910783,332.5,34.21127518695318,469.5,-0.13279875282829928,-0.41711407382045584,0
7,Cdk8,Cdk1,40.0673,206.7299610315781,5435.0,201.21232343312704,6808.5,0.03880564095447585,-0.41711407382045584,0
17,Cdk8,Cdk19,77.6447,5.896342668104488,1046.5,5.3064365456541855,1184.5,0.15152562001418662,-0.41711407382045584,0
41,Csnk1a1,Vrk3,15.6733,17.865406467830898,899.0,17.847092230442563,936.5,0.0014796982981932437,-0.915440939190003,0
39,Csnk1a1,Vrk1,23.4091,20.954092086899287,2456.0,24.311321250641612,2990.5,-0.2143962890840639,-0.915440939190003,0
36,Csnk1a1,Csnk1g3,39.2857,8.631947583279644,1306.0,9.195581944596903,1464.0,-0.09125477460867193,-0.915440939190003,0
35,Csnk1a1,Csnk1g2,38.914,120.4885222803912,3920.0,107.62995323310545,3642.5,0.16281608872313186,-0.915440939190003,0
